"","Tissue","Cell_type","Change","Gene"
"1","Adipose","Adipocyte","Positive","Nnat"
"2","Adipose","Adipocyte","Positive","Hp"
"3","Adipose","Adipocyte","Positive","Cyp2e1"
"4","Adipose","Adipocyte","Positive","Hpgd"
"5","Adipose","Adipocyte","Positive","Sult1e1"
"6","Adipose","Adipocyte","Positive","Lrg1"
"7","Adipose","Adipose_stem_cell","Positive","Sult1e1"
"8","Adipose","Adipose_stem_cell","Positive","Serpine2"
"9","Adipose","Adipose_stem_cell","Positive","Hp"
"10","Adipose","Adipose_stem_cell","Positive","C7"
"11","Adipose","Adipose_stem_cell","Positive","Adamts5"
"12","Adipose","Adipose_stem_cell","Positive","Sfrp1"
"13","Adipose","Adipose_stem_cell","Positive","Igfbp7"
"14","Adipose","Adipose_stem_cell","Positive","Thsd7a"
"15","Adipose","Adipose_stem_cell","Positive","Ace"
"16","Adipose","Adipose_stem_cell","Positive","Ccdc80"
"17","Adipose","Adipose_stem_cell","Positive","Tgfbr3"
"18","Adipose","Adipose_stem_cell","Positive","Cyba"
"19","Adipose","Adipose_stem_cell","Positive","Hspb1"
"20","Adipose","Adipose_stem_cell","Positive","Svep1"
"21","Adipose","Adipose_stem_cell","Positive","S1pr3"
"22","Adipose","Adipose_stem_cell","Positive","Fmo2"
"23","Adipose","Adipose_stem_cell","Positive","Igfbp4"
"24","Adipose","Adipose_stem_cell","Positive","Col6a5"
"25","Adipose","Adipose_stem_cell","Positive","Nr4a3"
"26","Adipose","B_cell","Positive","Fabp4"
"27","Adipose","Endothelial_1","Positive","Hp"
"28","Adipose","Endothelial_1","Positive","Timp4"
"29","Adipose","Endothelial_2","Positive","Sult1e1"
"30","Adipose","Endothelial_2","Positive","Hp"
"31","Adipose","Fibroblast","Positive","Cav1"
"32","Adipose","Fibroblast","Positive","S100a6"
"33","Adipose","Fibroblast","Positive","Fabp4"
"34","Adipose","Fibroblast","Positive","Txn1"
"35","Adipose","Fibroblast","Positive","Dbi"
"36","Adipose","ILC2","Positive","Pcyt1a"
"37","Adipose","Macrophage_1","Positive","AY036118"
"38","Adipose","Macrophage_1","Positive","Ccl8"
"39","Adipose","Macrophage_2","Positive","Gm26778"
"40","Adipose","Mesothelial_cell","Positive","Aldh1a1"
"41","Adipose","Mesothelial_cell","Positive","Timp2"
"42","Adipose","Mesothelial_cell","Positive","Efemp1"
"43","Adipose","Mesothelial_cell","Positive","Col6a5"
"44","Adipose","Mesothelial_cell","Positive","Fmod"
"45","Adipose","Mesothelial_cell","Positive","Chrdl1"
"46","Adipose","Mesothelial_cell","Positive","Mt1"
"47","Adipose","Mesothelial_cell","Positive","Mt2"
"48","Adipose","Mesothelial_cell","Positive","Enpp2"
"49","Adipose","Mesothelial_cell","Positive","Flrt2"
"50","Adipose","Mesothelial_cell","Positive","Slco2a1"
"51","Adipose","Mesothelial_cell","Positive","Lcn2"
"52","Adipose","Mesothelial_cell","Positive","Igfbp2"
"53","Adipose","Mesothelial_cell","Positive","Ly6e"
"54","Adipose","Mesothelial_cell","Positive","Adam23"
"55","Adipose","Mesothelial_cell","Positive","Cd109"
"56","Adipose","Mesothelial_cell","Positive","Ucp2"
"57","Adipose","Mesothelial_cell","Positive","Cd34"
"58","Adipose","Mesothelial_cell","Positive","Ecm1"
"59","Adipose","Mesothelial_cell","Positive","S100a6"
"60","Adipose","Mesothelial_cell","Positive","Matn4"
"61","Adipose","Mesothelial_cell","Positive","Ssr3"
"62","Adipose","Mesothelial_cell","Positive","Fkbp5"
"63","Adipose","Mesothelial_cell","Positive","Actn3"
"64","Adipose","Mesothelial_cell","Positive","Gsta3"
"65","Adipose","Mesothelial_cell","Positive","Cst3"
"66","Adipose","Mesothelial_cell","Positive","Fxyd5"
"67","Adipose","Mesothelial_cell","Positive","Fras1"
"68","Adipose","Mesothelial_cell","Positive","Hmgcs2"
"69","Adipose","Mesothelial_cell","Positive","Lamb2"
"70","Adipose","Mesothelial_cell","Positive","Map1b"
"71","Adipose","Mesothelial_cell","Positive","Nr4a1"
"72","Adipose","Mesothelial_cell","Positive","C7"
"73","Adipose","Mesothelial_cell","Positive","Smpd3"
"74","Adipose","Mesothelial_cell","Positive","Fzd1"
"75","Adipose","Mesothelial_cell","Positive","Sult1e1"
"76","Adipose","Mesothelial_cell","Positive","Sgk1"
"77","Adipose","Mesothelial_cell","Positive","Has1"
"78","Adipose","Mesothelial_cell","Positive","Csrnp1"
"79","Adipose","Mesothelial_cell","Positive","Slit3"
"80","Adipose","Mesothelial_cell","Positive","Tshz2"
"81","Adipose","Mesothelial_cell","Positive","Zfp36"
"82","Adipose","Preadipocyte_1","Positive","Serpine2"
"83","Adipose","Preadipocyte_1","Positive","Scn7a"
"84","Adipose","Preadipocyte_1","Positive","Col4a5"
"85","Adipose","Preadipocyte_1","Positive","Cp"
"86","Adipose","Preadipocyte_1","Positive","Ecm1"
"87","Adipose","Preadipocyte_1","Positive","Gstm5"
"88","Adipose","Preadipocyte_1","Positive","Penk"
"89","Adipose","Preadipocyte_1","Positive","Plpp3"
"90","Adipose","Preadipocyte_1","Positive","Sult1e1"
"91","Adipose","Preadipocyte_1","Positive","Igf1"
"92","Adipose","Preadipocyte_1","Positive","Hp"
