"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:0019693","GO:0019693","ribose phosphate metabolic process","18/53","444/23174",3.00066647137042e-18,4.70804569358019e-15,3.25651277050832e-15,"Acly/Fasn/Tkt/Acaca/Gpd1/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Pgd/Mpc1/Atp5a1/Nudt4/Pygl/Cs/Ldha/Chchd10",18,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006732","GO:0006732","coenzyme metabolic process","16/53","326/23174",1.51044151074709e-17,1.18494136518109e-14,8.19613261884344e-15,"Acly/Fasn/Tkt/Acaca/Me1/Gpd1/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Pgd/Mpc1/Gpd2/Cs/Ldha",16,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006790","GO:0006790","sulfur compound metabolic process","14/53","270/23174",9.7099501381935e-16,5.0783039222752e-13,3.5126170499921e-13,"Acly/Fasn/Acaca/Acss2/Acsl1/Dgat2/Pdhb/Comt/Pdha1/Mpc1/Sult1a1/Sod1/Hspa9/Cs",14,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006637","GO:0006637","acyl-CoA metabolic process","10/53","81/23174",2.6440575830609e-15,8.2970526956451e-13,5.73899656449639e-13,"Acly/Fasn/Acaca/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Cs",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0035383","GO:0035383","thioester metabolic process","10/53","81/23174",2.6440575830609e-15,8.2970526956451e-13,5.73899656449639e-13,"Acly/Fasn/Acaca/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Cs",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","8/53","32/23174",4.3406865958219e-15,1.13508954480743e-12,7.85131207068838e-13,"Acly/Fasn/Acaca/Acss2/Pdhb/Pdha1/Mpc1/Cs",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","15/53","417/23174",1.75231389819864e-14,3.00548669408176e-12,2.07886805648807e-12,"Acly/Fasn/Acaca/Gpd1/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Atp5a1/Nudt4/Cs/Ldha/Chchd10",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","10/53","98/23174",1.91554282605593e-14,3.00548669408176e-12,2.07886805648807e-12,"Acly/Fasn/Acaca/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Cs",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","10/53","98/23174",1.91554282605593e-14,3.00548669408176e-12,2.07886805648807e-12,"Acly/Fasn/Acaca/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Cs",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","10/53","98/23174",1.91554282605593e-14,3.00548669408176e-12,2.07886805648807e-12,"Acly/Fasn/Acaca/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Cs",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009259","GO:0009259","ribonucleotide metabolic process","15/53","427/23174",2.47645275832664e-14,3.53232216164954e-12,2.44327540079882e-12,"Acly/Fasn/Acaca/Gpd1/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Atp5a1/Nudt4/Cs/Ldha/Chchd10",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006163","GO:0006163","purine nucleotide metabolic process","15/53","441/23174",3.96243408189192e-14,5.18088256207369e-12,3.58356977055313e-12,"Acly/Fasn/Acaca/Gpd1/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Atp5a1/Nudt4/Cs/Ldha/Chchd10",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0072521","GO:0072521","purine-containing compound metabolic process","15/53","484/23174",1.52844915415166e-13,1.8447205560492e-11,1.27597658132013e-11,"Acly/Fasn/Acaca/Gpd1/Acss2/Acsl1/Dgat2/Pdhb/Pdha1/Mpc1/Atp5a1/Nudt4/Cs/Ldha/Chchd10",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0005996","GO:0005996","monosaccharide metabolic process","11/53","254/23174",1.12141075848956e-11,1.25678105719294e-09,8.69304129325362e-10,"Gpd1/Pcx/Dgat2/Pdhb/Pdha1/Pgd/Fabp5/Rbp4/Gpd2/Igfbp5/Ldha",11,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0035384","GO:0035384","thioester biosynthetic process","6/53","24/23174",1.39302484407812e-11,1.36603498772411e-09,9.44874088318779e-10,"Acly/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process","6/53","24/23174",1.39302484407812e-11,1.36603498772411e-09,9.44874088318779e-10,"Acly/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006006","GO:0006006","glucose metabolic process","10/53","195/23174",2.0104190641534e-11,1.85549853626863e-09,1.28343161309112e-09,"Gpd1/Pcx/Dgat2/Pdhb/Pdha1/Fabp5/Rbp4/Gpd2/Igfbp5/Ldha",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","9/53","154/23174",6.89539049029931e-11,6.01048204404423e-09,4.15739625467753e-09,"Tkt/Me1/Gpd1/Pdhb/Pdha1/Pgd/Mpc1/Gpd2/Ldha",9,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","9/53","156/23174",7.74201845372147e-11,6.19467015920634e-09,4.28479751376454e-09,"Tkt/Me1/Gpd1/Pdhb/Pdha1/Pgd/Mpc1/Gpd2/Ldha",9,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019318","GO:0019318","hexose metabolic process","10/53","224/23174",7.89632907483280e-11,6.19467015920634e-09,4.28479751376454e-09,"Gpd1/Pcx/Dgat2/Pdhb/Pdha1/Fabp5/Rbp4/Gpd2/Igfbp5/Ldha",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","9/53","161/23174",1.02722823331465e-10,7.67486237176514e-09,5.30863312555088e-09,"Tkt/Me1/Gpd1/Pdhb/Pdha1/Pgd/Mpc1/Gpd2/Ldha",9,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","10/53","233/23174",1.16233922090447e-10,8.28959198908685e-09,5.73383606101677e-09,"Acly/Tkt/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1/Pygl",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0033866","GO:0033866","nucleoside bisphosphate biosynthetic process","6/53","35/23174",1.64806240635391e-10,1.03432396622772e-08,7.154325646109e-09,"Acly/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0034030","GO:0034030","ribonucleoside bisphosphate biosynthetic process","6/53","35/23174",1.64806240635391e-10,1.03432396622772e-08,7.154325646109e-09,"Acly/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0034033","GO:0034033","purine nucleoside bisphosphate biosynthetic process","6/53","35/23174",1.64806240635391e-10,1.03432396622772e-08,7.154325646109e-09,"Acly/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006733","GO:0006733","oxidoreduction coenzyme metabolic process","9/53","172/23174",1.8544681235676e-10,1.11910018687599e-08,7.74071512306962e-09,"Tkt/Me1/Gpd1/Pdhb/Pdha1/Pgd/Mpc1/Gpd2/Ldha",9,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006085","GO:0006085","acetyl-CoA biosynthetic process","5/53","17/23174",3.12423434588275e-10,1.81552729210742e-08,1.25578386378367e-08,"Acly/Acss2/Pdhb/Pdha1/Mpc1",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","10/53","260/23174",3.39254948900309e-10,1.90103933865923e-08,1.31493177562488e-08,"Acly/Fasn/Acaca/Elovl6/Gpd1/Acss2/Fabp5/Scd1/Scd2/Ldha",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","11/53","358/23174",4.38060556733275e-10,2.3595088171949e-08,1.63205098153564e-08,"Acly/Fasn/Acaca/Elovl6/Gpd1/Acss2/Fabp5/Scd1/Glul/Scd2/Ldha",11,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0016053","GO:0016053","organic acid biosynthetic process","11/53","359/23174",4.51148913421588e-10,2.3595088171949e-08,1.63205098153564e-08,"Acly/Fasn/Acaca/Elovl6/Gpd1/Acss2/Fabp5/Scd1/Glul/Scd2/Ldha",11,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006631","GO:0006631","fatty acid metabolic process","11/53","373/23174",6.75165171768422e-10,3.41720695001502e-08,2.36365124649658e-08,"Acly/Fasn/Acaca/Elovl6/Acss2/Acsl1/Dgat2/Fabp5/Scd1/Aacs/Scd2",11,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006633","GO:0006633","fatty acid biosynthetic process","8/53","134/23174",7.20759185866302e-10,3.53397238320071e-08,2.44441684417157e-08,"Acly/Fasn/Acaca/Elovl6/Acss2/Fabp5/Scd1/Scd2",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0090407","GO:0090407","organophosphate biosynthetic process","12/53","498/23174",1.01962914741893e-09,4.84787312818274e-08,3.35323014669512e-08,"Acly/Tkt/Gpd1/Acss2/Pcx/Acsl1/Pdhb/Pdha1/Fabp5/Mpc1/Atp5a1/Pygl",12,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006090","GO:0006090","pyruvate metabolic process","7/53","114/23174",7.39993404122928e-09,3.41485191490845e-07,2.36202228994037e-07,"Me1/Gpd1/Pcx/Pdhb/Pdha1/Mpc1/Ldha",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","6/53","78/23174",2.41987067034699e-08,1.08479345193555e-06,7.50341852970751e-07,"Acly/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","8/53","217/23174",3.20596056825237e-08,1.38923709241913e-06,9.60922775005285e-07,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","6/53","82/23174",3.27608492157476e-08,1.38923709241913e-06,9.60922775005285e-07,"Gpd1/Pcx/Dgat2/Pgd/Rbp4/Gpd2",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","8/53","226/23174",4.39190304814336e-08,1.81339365329919e-06,1.25430804505147e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","8/53","234/23174",5.74601305688823e-08,2.31166525288657e-06,1.59895801933921e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","8/53","239/23174",6.7634305802119e-08,2.65295564508812e-06,1.83502550742065e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0051188","GO:0051188","cofactor biosynthetic process","8/53","246/23174",8.4463537796835e-08,3.23227538544473e-06,2.23573575015499e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Sod1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0070542","GO:0070542","response to fatty acid","5/53","51/23174",1.11836092760662e-07,4.17787689384471e-06,2.88979979038201e-06,"Acaca/Dgat2/Scd1/Aacs/Scd2",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009165","GO:0009165","nucleotide biosynthetic process","8/53","279/23174",2.21367281079704e-07,8.07733172125711e-06,5.58701754695655e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009108","GO:0009108","coenzyme biosynthetic process","7/53","189/23174",2.41076628333559e-07,8.59657340580348e-06,5.94617233999758e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","8/53","286/23174",2.67311187903351e-07,9.32025008489683e-06,6.44673297610187e-06,"Acly/Gpd1/Acss2/Acsl1/Pdhb/Pdha1/Mpc1/Atp5a1",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0016999","GO:0016999","antibiotic metabolic process","6/53","133/23174",5.87007891063048e-07,2.0022073501694e-05,1.38490877731351e-05,"Acly/Acss2/Pdhb/Pdha1/Sod1/Cs",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006094","GO:0006094","gluconeogenesis","5/53","73/23174",6.88446452486443e-07,2.29823932755581e-05,1.58967142780184e-05,"Gpd1/Pcx/Dgat2/Rbp4/Gpd2",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006101","GO:0006101","citrate metabolic process","4/53","32/23174",8.35923621077982e-07,2.69742194031318e-05,1.86578244303303e-05,"Acly/Pdhb/Pdha1/Cs",4,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019319","GO:0019319","hexose biosynthetic process","5/53","76/23174",8.42407106917435e-07,2.69742194031318e-05,1.86578244303303e-05,"Gpd1/Pcx/Dgat2/Rbp4/Gpd2",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019216","GO:0019216","regulation of lipid metabolic process","8/53","336/23174",9.02663739936565e-07,2.83255881592094e-05,1.95925540184126e-05,"Thrsp/Pcx/Dgat2/Ppp2r5a/Fabp5/Scd1/Sod1/Psap",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process","9/53","471/23174",1.09915404246635e-06,3.38151508358766e-05,2.33896350419569e-05,"Gpd1/Dgat2/Comt/Sorl1/Rbp4/Sult1a1/Sod1/Nudt4/Ldha",9,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0072350","GO:0072350","tricarboxylic acid metabolic process","4/53","37/23174",1.52234765329597e-06,4.59339128465651e-05,3.17720734928775e-05,"Acly/Pdhb/Pdha1/Cs",4,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","5/53","86/23174",1.56081677202237e-06,4.62060663264735e-05,3.1960319601888e-05,"Acly/Me1/Pcx/Glul/Cs",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006107","GO:0006107","oxaloacetate metabolic process","3/53","11/23174",1.83975732655752e-06,5.34551712105324e-05,3.69744601107369e-05,"Acly/Pcx/Cs",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006086","GO:0006086","acetyl-CoA biosynthetic process from pyruvate","3/53","12/23174",2.44904215441408e-06,6.9864493459558e-05,4.83246404057591e-05,"Pdhb/Pdha1/Mpc1",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","5/53","96/23174",2.69253333337366e-06,7.54390142868441e-05,5.21804862163203e-05,"Elovl6/Acsl1/Fabp5/Scd1/Vegfa",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006641","GO:0006641","triglyceride metabolic process","5/53","98/23174",2.9811862872119e-06,8.20610751690433e-05,5.67609060409135e-05,"Thrsp/Acsl1/Dgat2/Scd1/Ddhd2",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","6/53","191/23174",4.82087469793675e-06,0.000130412972432117,9.02054775603048e-05,"Gpd1/Pcx/Dgat2/Pgd/Rbp4/Gpd2",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046486","GO:0046486","glycerolipid metabolic process","7/53","322/23174",8.34725082112595e-06,0.000219324108250274,0.000151704508809521,"Thrsp/Gpd1/Acsl1/Dgat2/Fabp5/Scd1/Ddhd2",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006639","GO:0006639","acylglycerol metabolic process","5/53","121/23174",8.38715519121506e-06,0.000219324108250274,0.000151704508809521,"Thrsp/Acsl1/Dgat2/Scd1/Ddhd2",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006638","GO:0006638","neutral lipid metabolic process","5/53","123/23174",9.08475681732704e-06,0.000233671859776822,0.000161628719217673,"Thrsp/Acsl1/Dgat2/Scd1/Ddhd2",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0048871","GO:0048871","multicellular organismal homeostasis","8/53","485/23174",1.34733886961131e-05,0.000340963659100023,0.000235841489740112,"Acaca/Elovl6/Acsl1/Fabp5/Scd1/Rbp4/Sod1/Vegfa",8,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","7/53","353/23174",1.51361719535871e-05,0.000376962758653622,0.000260741742425202,"Me1/Gpd1/Dgat2/Comt/Fabp5/Sod1/Igfbp5",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0001101","GO:0001101","response to acid chemical","7/53","354/23174",1.54146039411519e-05,0.000377898649744803,0.000261389089857363,"Acaca/Dgat2/Scd1/Rbp4/Aacs/Scd2/Vegfa",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0106106","GO:0106106","cold-induced thermogenesis","5/53","142/23174",1.82318713839481e-05,0.000433421306082039,0.000299793610795064,"Elovl6/Acsl1/Fabp5/Scd1/Vegfa",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
