"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:0050673","GO:0050673","epithelial cell proliferation","14/90","424/23174",9.7182915551006e-10,2.27408022389354e-06,1.60914448591297e-06,"Tgfbr3/Igfbp4/Cyba/Egfr/Sfrp1/Ecm1/Bmper/Sparc/Gpx1/Cebpb/Nr4a3/Hes1/Gas1/Ccl2",14,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0009611","GO:0009611","response to wounding","14/90","495/23174",7.0293519490666e-09,8.22434178040792e-06,5.81956348204303e-06,"Serpine2/Serping1/Lox/Lrp1/Papss2/Egfr/Arhgap24/Lamb2/Gpx1/Myof/Cdkn1a/Neat1/Procr/Ccl2",14,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","11/90","357/23174",1.39657040580197e-07,8.88509958300672e-05,6.28711724879423e-05,"Tgfbr3/Cyba/Egfr/Sfrp1/Ecm1/Sparc/Gpx1/Nr4a3/Hes1/Gas1/Ccl2",11,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0042060","GO:0042060","wound healing","11/90","360/23174",1.51882044153961e-07,8.88509958300672e-05,6.28711724879423e-05,"Serpine2/Serping1/Lox/Papss2/Egfr/Arhgap24/Gpx1/Myof/Cdkn1a/Procr/Ccl2",11,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0001558","GO:0001558","regulation of cell growth","11/90","429/23174",8.62341463750823e-07,0.000378418223975539,0.00026776962047392,"Serpine2/Igfbp4/Cyba/Igfbp7/Lrp1/Egfr/Sfrp1/Sema3e/Cdkn1a/Cryab/Gas1",11,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0051341","GO:0051341","regulation of oxidoreductase activity","6/90","85/23174",9.90804811583176e-07,0.000378418223975539,0.00026776962047392,"Hp/Cyba/S100a1/Egfr/Atp2b4/Nfkb1",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","8/90","200/23174",1.13202032813196e-06,0.000378418223975539,0.00026776962047392,"Hp/Cyba/Egfr/Atp2b4/Tspo/Cdkn1a/Cryab/Ier3",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","9/90","288/23174",1.82860459518137e-06,0.000534866844090551,0.000378473030028986,"Hp/Cyba/Egfr/Atp2b4/Gpx1/Tspo/Cdkn1a/Cryab/Ier3",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0007263","GO:0007263","nitric oxide mediated signal transduction","4/90","26/23174",2.97850097316478e-06,0.000774410253022844,0.000547974506524936,"Egfr/Mt1/Atp2b4/Mt2",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0045444","GO:0045444","fat cell differentiation","8/90","238/23174",4.13235163345858e-06,0.000966970282229309,0.000684230433624248,"Sult1e1/Lama4/Sfrp1/Gdf10/Gpx1/Cebpb/Nr4a3/Hes1",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0009636","GO:0009636","response to toxic substance","9/90","343/23174",7.56335298477381e-06,0.00160893145312461,0.00113848365981332,"Hp/Inmt/Mt1/Gpx1/Mt2/Nr4a3/Txn1/Cryab/Nfkb1",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0030198","GO:0030198","extracellular matrix organization","8/90","273/23174",1.12644562521963e-05,0.00219656896917827,0.00155429734076357,"Ccdc80/Lamc1/Lox/Lgals3/Lamb2/Abi3bp/Col4a1/Has1",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","7/90","199/23174",1.26753222352335e-05,0.00228155800234202,0.001614435779435,"Cyba/Egfr/Sfrp1/Ecm1/Nr4a3/Gas1/Ccl2",7,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0048708","GO:0048708","astrocyte differentiation","5/90","83/23174",1.80598802448915e-05,0.00301857998378901,0.00213595425753491,"Serpine2/Lrp1/Egfr/Lamb2/Hes1",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0032768","GO:0032768","regulation of monooxygenase activity","4/90","42/23174",2.12663944526864e-05,0.0031972601532236,0.00226238876339214,"S100a1/Egfr/Atp2b4/Nfkb1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0031099","GO:0031099","regeneration","6/90","145/23174",2.18616078852896e-05,0.0031972601532236,0.00226238876339214,"Ace/Lrp1/Lamb2/Gpx1/Cebpb/Cdkn1a",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0006979","GO:0006979","response to oxidative stress","9/90","401/23174",2.60953887754111e-05,0.00340412089002106,0.00240876390463478,"Hp/Hspb1/Egfr/Gpx1/Atox1/Nr4a3/Txn1/Cryab/Nfkb1",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0045765","GO:0045765","regulation of angiogenesis","8/90","307/23174",2.61855453078543e-05,0.00340412089002106,0.00240876390463478,"Hspb1/S100a1/Lgals3/Ecm1/Bmper/Sparc/Sema3e/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0043062","GO:0043062","extracellular structure organization","8/90","317/23174",3.28876090096087e-05,0.00405036868855181,0.0028660503585659,"Ccdc80/Lamc1/Lox/Lgals3/Lamb2/Abi3bp/Col4a1/Has1",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0042063","GO:0042063","gliogenesis","8/90","321/23174",3.59432979674208e-05,0.00409462876061758,0.00289736888909197,"Serpine2/Vcan/Lrp1/Egfr/Lamb2/Tspo/Hes1/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010959","GO:0010959","regulation of metal ion transport","9/90","419/23174",3.67466683645168e-05,0.00409462876061758,0.00289736888909197,"Serpine2/Ace/Cyba/S100a1/Lgals3/Atp2b4/Fxyd5/Tspo/Hes1",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:1903202","GO:1903202","negative regulation of oxidative stress-induced cell death","4/90","52/23174",4.99356136852163e-05,0.00504513707256519,0.00356995079403736,"Hspb1/Gpx1/Nr4a3/Txn1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010823","GO:0010823","negative regulation of mitochondrion organization","4/90","53/23174",5.38523061995708e-05,0.00504513707256519,0.00356995079403736,"Acaa2/Gpx1/Tspo/Ier3",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:1900408","GO:1900408","negative regulation of cellular response to oxidative stress","4/90","53/23174",5.38523061995708e-05,0.00504513707256519,0.00356995079403736,"Hspb1/Gpx1/Nr4a3/Txn1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:1901342","GO:1901342","regulation of vasculature development","8/90","340/23174",5.39010371000555e-05,0.00504513707256519,0.00356995079403736,"Hspb1/S100a1/Lgals3/Ecm1/Bmper/Sparc/Sema3e/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:1902883","GO:1902883","negative regulation of response to oxidative stress","4/90","56/23174",6.69496571159244e-05,0.0060254691404332,0.00426363605843519,"Hspb1/Gpx1/Nr4a3/Txn1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:1903510","GO:1903510","mucopolysaccharide metabolic process","4/90","58/23174",7.68795641064927e-05,0.00666289555589604,0.00471468048107263,"Chst1/Bgn/Has1/Nfkb1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0008347","GO:0008347","glial cell migration","4/90","59/23174",8.2227120772971e-05,0.00682435081118788,0.00482892659739025,"Vcan/Lrp1/Tspo/Ccl2",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0048732","GO:0048732","gland development","9/90","467/23174",8.45752878309609e-05,0.00682435081118788,0.00482892659739025,"Serpine2/Hp/Tgfbr3/Egfr/Sfrp1/Man2a1/Gpx1/Cebpb/Hes1",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
