"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:1990000","GO:1990000","amyloid fibril formation","2/12","15/23174",2.57131594453827e-05,0.00944108548960195,0.00482702115257844,"Apoe/Gsn",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0042737","GO:0042737","drug catabolic process","3/12","152/23174",5.82791534323515e-05,0.00944108548960195,0.00482702115257844,"Hp/Cyp2e1/Sult1e1",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0071276","GO:0071276","cellular response to cadmium ion","2/12","23/23174",6.18140212194747e-05,0.00944108548960195,0.00482702115257844,"Mt1/Gsn",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006706","GO:0006706","steroid catabolic process","2/12","24/23174",6.74140783358989e-05,0.00944108548960195,0.00482702115257844,"Apoe/Sult1e1",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0007263","GO:0007263","nitric oxide mediated signal transduction","2/12","26/23174",7.93368528537979e-05,0.00944108548960195,0.00482702115257844,"Mt1/Apoe",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0050673","GO:0050673","epithelial cell proliferation","9/36","424/23174",1.28335249198142e-08,1.6439745422282e-05,1.09963045102408e-05,"Igfbp4/Cdh13/Ecm1/Cyba/Sfrp1/Tgfbr3/Nr4a3/Gpx1/Gas1",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","down"
"GO:0016999","GO:0016999","antibiotic metabolic process","6/36","133/23174",5.39449718518264e-08,2.60147064870047e-05,1.74008554833164e-05,"Sult1e1/Hp/Dpep1/Cyba/Gpx1/Gpx3",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","down"
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","8/36","357/23174",6.09243711639455e-08,2.60147064870047e-05,1.74008554833164e-05,"Cdh13/Ecm1/Cyba/Sfrp1/Tgfbr3/Nr4a3/Gpx1/Gas1",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","down"
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","6/36","199/23174",5.84366234425993e-07,0.000187143286574924,0.000125177398637568,"Cdh13/Ecm1/Cyba/Sfrp1/Nr4a3/Gas1",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","down"
"GO:0017001","GO:0017001","antibiotic catabolic process","4/36","49/23174",9.88447737372177e-07,0.000253240310314752,0.000169388728046516,"Sult1e1/Hp/Gpx1/Gpx3",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","down"
