"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:0006732","GO:0006732","coenzyme metabolic process","13/29","326/23174",3.68908534451131e-17,2.63031785063657e-14,1.30477123763769e-14,"Fasn/Tkt/Mpc1/Me1/Aldoa/Acly/Gapdh/Acaca/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",13,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0090407","GO:0090407","organophosphate biosynthetic process","14/29","498/23174",2.15860673019153e-16,7.69543299313282e-14,3.81732558602292e-14,"Tkt/Mpc1/Aldoa/Acly/Fabp5/Gapdh/Acss2/Pcx/Pdha1/Mpc2/Gpd1/Agpat2/Chpt1/Acsl1",14,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0019693","GO:0019693","ribose phosphate metabolic process","13/29","444/23174",2.02288425292984e-15,4.80772157446325e-13,2.38487406661202e-13,"Fasn/Tkt/Mpc1/Aldoa/Acly/Gapdh/Acaca/Acss2/Uqcrq/Pdha1/Mpc2/Gpd1/Acsl1",13,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","7/29","32/23174",7.23146385487851e-15,1.18402746650522e-12,5.87337755585376e-13,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2",7,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","11/29","260/23174",8.30313791378136e-15,1.18402746650522e-12,5.87337755585376e-13,"Scd1/Fasn/Aldoa/Acly/Fabp5/Gapdh/Acaca/Acss2/Elovl6/Insig1/Gpd1",11,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","12/29","417/23174",3.87732677151192e-14,4.60755664681333e-12,2.28558209689123e-12,"Fasn/Mpc1/Aldoa/Acly/Gapdh/Acaca/Acss2/Uqcrq/Pdha1/Mpc2/Gpd1/Acsl1",12,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0009259","GO:0009259","ribonucleotide metabolic process","12/29","427/23174",5.13672791220355e-14,5.00437000632473e-12,2.48242167583245e-12,"Fasn/Mpc1/Aldoa/Acly/Gapdh/Acaca/Acss2/Uqcrq/Pdha1/Mpc2/Gpd1/Acsl1",12,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006637","GO:0006637","acyl-CoA metabolic process","8/29","81/23174",6.31687658582364e-14,5.00437000632473e-12,2.48242167583245e-12,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2/Acsl1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0035383","GO:0035383","thioester metabolic process","8/29","81/23174",6.31687658582364e-14,5.00437000632473e-12,2.48242167583245e-12,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2/Acsl1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006163","GO:0006163","purine nucleotide metabolic process","12/29","441/23174",7.53009614273082e-14,5.36895854976707e-12,2.663276109429e-12,"Fasn/Mpc1/Aldoa/Acly/Gapdh/Acaca/Acss2/Uqcrq/Pdha1/Mpc2/Gpd1/Acsl1",12,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","10/29","233/23174",1.47408247265075e-13,9.55473457272711e-12,4.73963359627417e-12,"Tkt/Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",10,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0072521","GO:0072521","purine-containing compound metabolic process","12/29","484/23174",2.26302652711327e-13,1.14396215864724e-11,5.67463328125005e-12,"Fasn/Mpc1/Aldoa/Acly/Gapdh/Acaca/Acss2/Uqcrq/Pdha1/Mpc2/Gpd1/Acsl1",12,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","11/29","358/23174",2.76918583777365e-13,1.14396215864724e-11,5.67463328125005e-12,"Scd1/Fasn/Aldoa/Acly/Fabp5/Gapdh/Acaca/Acss2/Elovl6/Insig1/Gpd1",11,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0016053","GO:0016053","organic acid biosynthetic process","11/29","359/23174",2.85465779465897e-13,1.14396215864724e-11,5.67463328125005e-12,"Scd1/Fasn/Aldoa/Acly/Fabp5/Gapdh/Acaca/Acss2/Elovl6/Insig1/Gpd1",11,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0035384","GO:0035384","thioester biosynthetic process","6/29","24/23174",2.92884063680805e-13,1.14396215864724e-11,5.67463328125005e-12,"Mpc1/Acly/Acss2/Pdha1/Mpc2/Acsl1",6,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process","6/29","24/23174",2.92884063680805e-13,1.14396215864724e-11,5.67463328125005e-12,"Mpc1/Acly/Acss2/Pdha1/Mpc2/Acsl1",6,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","8/29","98/23174",3.04842650971915e-13,1.14396215864724e-11,5.67463328125005e-12,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2/Acsl1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","8/29","98/23174",3.04842650971915e-13,1.14396215864724e-11,5.67463328125005e-12,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2/Acsl1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","8/29","98/23174",3.04842650971915e-13,1.14396215864724e-11,5.67463328125005e-12,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2/Acsl1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006090","GO:0006090","pyruvate metabolic process","8/29","114/23174",1.05239066110289e-12,3.75177270683181e-11,1.86106980068722e-11,"Mpc1/Me1/Aldoa/Gapdh/Pcx/Pdha1/Mpc2/Gpd1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0009108","GO:0009108","coenzyme biosynthetic process","9/29","189/23174",1.14694885041434e-12,3.89416443021631e-11,1.93170332701363e-11,"Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0033866","GO:0033866","nucleoside bisphosphate biosynthetic process","6/29","35/23174",3.49909904500787e-12,1.03952400795442e-10,5.15656701369581e-11,"Mpc1/Acly/Acss2/Pdha1/Mpc2/Acsl1",6,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0034030","GO:0034030","ribonucleoside bisphosphate biosynthetic process","6/29","35/23174",3.49909904500787e-12,1.03952400795442e-10,5.15656701369581e-11,"Mpc1/Acly/Acss2/Pdha1/Mpc2/Acsl1",6,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0034033","GO:0034033","purine nucleoside bisphosphate biosynthetic process","6/29","35/23174",3.49909904500787e-12,1.03952400795442e-10,5.15656701369581e-11,"Mpc1/Acly/Acss2/Pdha1/Mpc2/Acsl1",6,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006633","GO:0006633","fatty acid biosynthetic process","8/29","134/23174",3.92057180841614e-12,1.09424488632881e-10,5.4280103610612e-11,"Scd1/Fasn/Acly/Fabp5/Acaca/Acss2/Elovl6/Insig1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","9/29","217/23174",3.99023380708963e-12,1.09424488632881e-10,5.4280103610612e-11,"Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","9/29","226/23174",5.75072907221319e-12,1.51861845499556e-10,7.53311878465353e-11,"Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","9/29","234/23174",7.85950625101615e-12,2.0013671274909e-10,9.92779736970461e-11,"Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","9/29","239/23174",9.5009242417012e-12,2.33591689114929e-10,1.15873341024015e-10,"Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","8/29","154/23174",1.20742803563854e-11,2.83044166855114e-10,1.40404281484193e-10,"Tkt/Mpc1/Me1/Aldoa/Gapdh/Pdha1/Mpc2/Gpd1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0051188","GO:0051188","cofactor biosynthetic process","9/29","246/23174",1.23062681241354e-11,2.83044166855114e-10,1.40404281484193e-10,"Mpc1/Aldoa/Acly/Gapdh/Acss2/Pdha1/Mpc2/Gpd1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006085","GO:0006085","acetyl-CoA biosynthetic process","5/29","17/23174",1.30636609457403e-11,2.89474938678358e-10,1.43594270902677e-10,"Mpc1/Acly/Acss2/Pdha1/Mpc2",5,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","8/29","156/23174",1.33978583119016e-11,2.89474938678358e-10,1.43594270902677e-10,"Tkt/Mpc1/Me1/Aldoa/Gapdh/Pdha1/Mpc2/Gpd1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","8/29","161/23174",1.72737897829147e-11,3.62241532800535e-10,1.7969019712258e-10,"Tkt/Mpc1/Me1/Aldoa/Gapdh/Pdha1/Mpc2/Gpd1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006790","GO:0006790","sulfur compound metabolic process","9/29","270/23174",2.82875662797727e-11,5.7625813592794e-10,2.85853301353492e-10,"Fasn/Mpc1/Acly/Acaca/Acss2/Pdha1/Mpc2/Sult1a1/Acsl1",9,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006733","GO:0006733","oxidoreduction coenzyme metabolic process","8/29","172/23174",2.93846430503647e-11,5.81979180414168e-10,2.88691229968495e-10,"Tkt/Mpc1/Me1/Aldoa/Gapdh/Pdha1/Mpc2/Gpd1",8,"Adipose","Adipose_Adipocyte","Adipocyte","up"
