"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:0019693","GO:0019693","ribose phosphate metabolic process","18/50","444/23174",8.83750366961947e-19,8.00677832467524e-16,5.24668638912145e-16,"Acly/Fasn/Tkt/Acaca/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Ldha/Acss2/Pgd/Atp5k/Cox7c/Pygl/Uqcrq/Atp5j2",18,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","15/50","417/23174",6.62836630723057e-15,2.83247396912959e-12,1.85606520110269e-12,"Acly/Fasn/Acaca/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Ldha/Acss2/Atp5k/Cox7c/Uqcrq/Atp5j2",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009259","GO:0009259","ribonucleotide metabolic process","15/50","427/23174",9.37905287791255e-15,2.83247396912959e-12,1.85606520110269e-12,"Acly/Fasn/Acaca/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Ldha/Acss2/Atp5k/Cox7c/Uqcrq/Atp5j2",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006163","GO:0006163","purine nucleotide metabolic process","15/50","441/23174",1.50327804105183e-14,3.4049247629824e-12,2.23118109250851e-12,"Acly/Fasn/Acaca/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Ldha/Acss2/Atp5k/Cox7c/Uqcrq/Atp5j2",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0072521","GO:0072521","purine-containing compound metabolic process","15/50","484/23174",5.82946233726269e-14,1.05108279877794e-11,6.88754151865643e-12,"Acly/Fasn/Acaca/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Ldha/Acss2/Atp5k/Cox7c/Uqcrq/Atp5j2",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","12/50","233/23174",6.96081323694e-14,1.05108279877794e-11,6.88754151865643e-12,"Acly/Tkt/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Acss2/Atp5k/Pygl/Atp5j2",12,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0090407","GO:0090407","organophosphate biosynthetic process","15/50","498/23174",8.81707610258484e-14,1.14118156413455e-11,7.47794123587647e-12,"Acly/Tkt/Aldoa/Fabp5/Mpc1/Mpc2/Pcx/Gapdh/Pdhb/Atp5e/Acss2/Atp5k/Pygl/Agpat2/Atp5j2",15,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006732","GO:0006732","coenzyme metabolic process","13/50","326/23174",1.4799441413772e-13,1.67603674010968e-11,1.09827433649571e-11,"Acly/Fasn/Me1/Tkt/Acaca/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Ldha/Acss2/Pgd",13,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","7/50","32/23174",4.5369096625756e-13,4.56715572699277e-11,2.99276847917267e-11,"Acly/Fasn/Acaca/Mpc1/Mpc2/Pdhb/Acss2",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","10/50","217/23174",3.11941217973694e-11,2.82618743484167e-09,1.8519457572333e-09,"Acly/Aldoa/Mpc1/Mpc2/Gapdh/Pdhb/Atp5e/Acss2/Atp5k/Atp5j2",10,"Adipose","Adipose_Adipocyte","Adipocyte","down"
