"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:0051341","GO:0051341","regulation of oxidoreductase activity","4/14","85/23174",1.64049195257762e-07,0.000133700094135076,5.81942934756483e-05,"Hp/Cav1/Npr3/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0051354","GO:0051354","negative regulation of oxidoreductase activity","3/14","27/23174",5.09001992985779e-07,0.000207418312141705,9.02808798085303e-05,"Hp/Cav1/Atp2b4",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0050999","GO:0050999","regulation of nitric-oxide synthase activity","3/14","31/23174",7.81096171846716e-07,0.000212197793351691,9.23611964604714e-05,"Cav1/Npr3/Atp2b4",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0042737","GO:0042737","drug catabolic process","4/14","152/23174",1.6920334329727e-06,0.000323893678512227,0.000140977939500963,"Hp/Cyp2e1/Sult1e1/Pck1",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0032768","GO:0032768","regulation of monooxygenase activity","3/14","42/23174",1.9870777822836e-06,0.000323893678512227,0.000140977939500963,"Cav1/Npr3/Atp2b4",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0017001","GO:0017001","antibiotic catabolic process","3/14","49/23174",3.18107431788413e-06,0.000432095928179261,0.000188074043004728,"Hp/Sult1e1/Pck1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:2000378","GO:2000378","negative regulation of reactive oxygen species metabolic process","3/14","67/23174",8.21836224456205e-06,0.000956852175616868,0.000416479409987581,"Hp/Cav1/Atp2b4",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","4/14","245/23174",1.12274859993091e-05,0.00114380013617961,0.000497850366021995,"Hp/Anxa2/Timp4/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0051001","GO:0051001","negative regulation of nitric-oxide synthase activity","2/14","10/23174",1.52090110149532e-05,0.0013767849918592,0.000599259337754666,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0001765","GO:0001765","membrane raft assembly","2/14","11/23174",1.8582374123253e-05,0.0013767849918592,0.000599259337754666,"Cav1/Anxa2",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0086103","GO:0086103","G protein-coupled receptor signaling pathway involved in heart process","2/14","11/23174",1.8582374123253e-05,0.0013767849918592,0.000599259337754666,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0009895","GO:0009895","negative regulation of catabolic process","4/14","292/23174",2.23762795453951e-05,0.00151972231912475,0.000661474228666504,"Hp/Anxa2/Timp4/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006641","GO:0006641","triglyceride metabolic process","3/14","98/23174",2.58061856433145e-05,0.00161784933071549,0.000704184984760891,"Cyp2e1/Cav1/Pck1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0032769","GO:0032769","negative regulation of monooxygenase activity","2/14","14/23174",3.07135530823971e-05,0.00178796755443954,0.000778230630734422,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0007589","GO:0007589","body fluid secretion","3/14","112/23174",3.84787474494469e-05,0.00209067861141995,0.000909988623892182,"Cav1/Anxa2/Npr3",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006639","GO:0006639","acylglycerol metabolic process","3/14","121/23174",4.84626587135534e-05,0.0022119960160184,0.000962793228799742,"Cyp2e1/Cav1/Pck1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006638","GO:0006638","neutral lipid metabolic process","3/14","123/23174",5.08902129984226e-05,0.0022119960160184,0.000962793228799742,"Cyp2e1/Cav1/Pck1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0045019","GO:0045019","negative regulation of nitric oxide biosynthetic process","2/14","18/23174",5.15680052814105e-05,0.0022119960160184,0.000962793228799742,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:1904406","GO:1904406","negative regulation of nitric oxide metabolic process","2/14","18/23174",5.15680052814105e-05,0.0022119960160184,0.000962793228799742,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006631","GO:0006631","fatty acid metabolic process","4/14","373/23174",5.81848974149839e-05,0.0023710345696606,0.0010320163383605,"Cyp2e1/Hpgd/Cav1/Pck1",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0016999","GO:0016999","antibiotic metabolic process","3/14","133/23174",6.42291561132178e-05,0.00249270296344155,0.00108497371479471,"Hp/Sult1e1/Pck1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0031579","GO:0031579","membrane raft organization","2/14","21/23174",7.07063451657221e-05,0.00261934869591198,0.00114009752731332,"Cav1/Anxa2",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0010959","GO:0010959","regulation of metal ion transport","4/14","419/23174",9.13368365077294e-05,0.00323650094581737,0.00140871917176681,"Ahnak/Cav1/Anxa2/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0006816","GO:0006816","calcium ion transport","4/14","425/23174",9.64997092632275e-05,0.00327696929373043,0.00142633342200472,"Ahnak/Cav1/Anxa2/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","3/14","163/23174",0.00011746732085711,0.00381749423712735,0.00166160227047067,"Hpgd/Cav1/Npr3",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","3/14","165/23174",0.000121785092227376,0.00381749423712735,0.00166160227047067,"Hpgd/Lrg1/Cav1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0048659","GO:0048659","smooth muscle cell proliferation","3/14","168/23174",0.000128454051822467,0.00387740934204854,0.00168768091478251,"Hpgd/Cav1/Npr3",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0070838","GO:0070838","divalent metal ion transport","4/14","473/23174",0.000145805265909362,0.00419852289409768,0.00182744877663664,"Ahnak/Cav1/Anxa2/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0072511","GO:0072511","divalent inorganic cation transport","4/14","476/23174",0.000149395293164212,0.00419852289409768,0.00182744877663664,"Ahnak/Cav1/Anxa2/Atp2b4",4,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0002026","GO:0002026","regulation of the force of heart contraction","2/14","31/23174",0.000156024498546494,0.00423866554384641,0.00184492126351468,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0071709","GO:0071709","membrane assembly","2/14","33/23174",0.000177041032839359,0.00465446586335733,0.00202590248104801,"Cav1/Anxa2",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:1903427","GO:1903427","negative regulation of reactive oxygen species biosynthetic process","2/14","36/23174",0.000211023503000619,0.00530698079464663,0.00230991608368862,"Cav1/Atp2b4",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","3/14","200/23174",0.000214883884936612,0.00530698079464663,0.00230991608368862,"Hp/Cav1/Atp2b4",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","3/14","204/23174",0.000227778773031197,0.00545999117707133,0.00237651537187348,"Hpgd/Lrg1/Cav1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0071559","GO:0071559","response to transforming growth factor beta","3/14","208/23174",0.00024116631085672,0.00561572980994933,0.00244430215815683,"Hpgd/Lrg1/Cav1",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0044091","GO:0044091","membrane biogenesis","2/14","40/23174",0.000260906716940594,0.0059066381751829,0.00257092291254328,"Cav1/Anxa2",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0033002","GO:0033002","muscle cell proliferation","3/14","234/23174",0.000340757418291227,0.00750587286236081,0.00326700568888033,"Hpgd/Cav1/Npr3",3,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0048662","GO:0048662","negative regulation of smooth muscle cell proliferation","2/14","53/23174",0.000458871716250865,0.00984159075643302,0.004283650093533,"Cav1/Npr3",2,"Adipose","Adipose_Adipocyte","Adipocyte","up"
"GO:0050673","GO:0050673","epithelial cell proliferation","10/66","424/23174",3.19925393315623e-07,0.000491707248890097,0.000345524770114547,"Cdh13/Sfrp1/Tgfbr3/Cyba/Sparc/Hes1/Igfbp4/Sulf2/Nr4a3/Ccl2",10,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","9/66","357/23174",7.54956069180693e-07,0.000491707248890097,0.000345524770114547,"Cdh13/Sfrp1/Tgfbr3/Cyba/Sparc/Hes1/Sulf2/Nr4a3/Ccl2",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","8/66","267/23174",9.01339190970875e-07,0.000491707248890097,0.000345524770114547,"Sfrp1/Tgfbr3/Fbn1/Hes1/Myof/Nrep/Sulf2/Aspn",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0030198","GO:0030198","extracellular matrix organization","8/66","273/23174",1.06487763701158e-06,0.000491707248890097,0.000345524770114547,"Cyp1b1/Fn1/Ccdc80/Abi3bp/Col4a5/Has1/Ntn4/Sulf2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0001667","GO:0001667","ameboidal-type cell migration","9/66","406/23174",2.18054955311995e-06,0.000805495004922508,0.000566024757683556,"Cyp1b1/Fn1/Cdh13/Tgfbr3/Hspb1/Sparc/Sema3e/Has1/Enpp2",9,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0043062","GO:0043062","extracellular structure organization","8/66","317/23174",3.23652206647498e-06,0.000936738176411106,0.000658249891154871,"Cyp1b1/Fn1/Ccdc80/Abi3bp/Col4a5/Has1/Ntn4/Sulf2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0042063","GO:0042063","gliogenesis","8/66","321/23174",3.55017175683689e-06,0.000936738176411106,0.000658249891154871,"Serpine2/Fn1/Vcan/Tspo/Hes1/Enpp2/Trf/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0031589","GO:0031589","cell-substrate adhesion","8/66","337/23174",5.0763280050805e-06,0.00117199722817296,0.00082356742503477,"Fn1/Cdh13/Sfrp1/Ccdc80/Abi3bp/Sema3e/Ntn4/Enpp2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0014015","GO:0014015","positive regulation of gliogenesis","5/66","92/23174",6.52261829357777e-06,0.00133858622091535,0.000940630217073847,"Serpine2/Tspo/Hes1/Enpp2/Trf",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","8/66","355/23174",7.4255097065523e-06,0.00137149164280021,0.00096375299665042,"Sfrp1/Tgfbr3/Fbn1/Hes1/Nrep/Trf/Aspn/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0045785","GO:0045785","positive regulation of cell adhesion","8/66","410/23174",2.10107917584593e-05,0.00326680760107961,0.00229559956238062,"Fn1/Cdh13/Ccdc80/Abi3bp/Hes1/Nr4a3/Enpp2/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0008347","GO:0008347","glial cell migration","4/66","59/23174",2.42719806961726e-05,0.00326680760107961,0.00229559956238062,"Fn1/Vcan/Tspo/Ccl2",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:00109591","GO:0010959","regulation of metal ion transport","8/66","419/23174",2.45353079945149e-05,0.00326680760107961,0.00229559956238062,"Serpine2/Ahnak/Ace/Atp2b4/Cyba/Tspo/Hes1/Trf",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","6/66","208/23174",2.82274136739863e-05,0.00326680760107961,0.00229559956238062,"Sfrp1/Hes1/Ntn4/Dact1/Sulf2/Aspn",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0001558","GO:0001558","regulation of cell growth","8/66","429/23174",2.90211033995262e-05,0.00326680760107961,0.00229559956238062,"Serpine2/Fn1/Sfrp1/Igfbp7/Cyba/Sema3e/Igfbp4/Ntn1",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","6/66","210/23174",2.97841102067038e-05,0.00326680760107961,0.00229559956238062,"Fn1/Cdh13/Ccdc80/Abi3bp/Sema3e/Enpp2",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","5/66","126/23174",3.00680721268833e-05,0.00326680760107961,0.00229559956238062,"Fn1/Cdh13/Ccdc80/Abi3bp/Enpp2",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","6/66","230/23174",4.94907428793618e-05,0.00491923747411779,0.00345676904544338,"Sfrp1/Tgfbr3/Fbn1/Hes1/Nrep/Aspn",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0048732","GO:0048732","gland development","8/66","467/23174",5.2847867757953e-05,0.00491923747411779,0.00345676904544338,"Serpine2/Hp/Sfrp1/Tgfbr3/Hes1/Ntn4/Ntn1/Sulf2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0090288","GO:0090288","negative regulation of cellular response to growth factor stimulus","5/66","142/23174",5.32673251122663e-05,0.00491923747411779,0.00345676904544338,"Sfrp1/Tgfbr3/Fbn1/Sulf2/Aspn",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0044342","GO:0044342","type B pancreatic cell proliferation","3/66","27/23174",6.14561191550596e-05,0.00540521200378072,0.00379826540943301,"Sfrp1/Igfbp4/Nr4a3",3,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0014013","GO:0014013","regulation of gliogenesis","5/66","154/23174",7.82808020557637e-05,0.0063734032589854,0.0044786175125119,"Serpine2/Tspo/Hes1/Enpp2/Trf",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0009611","GO:0009611","response to wounding","8/66","495/23174",7.93656063652757e-05,0.0063734032589854,0.0044786175125119,"Serpine2/Fn1/Myof/Nrep/Sulf2/Procr/Cd9/Ccl2",8,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010574","GO:0010574","regulation of vascular endothelial growth factor production","3/66","31/23174",9.36768351543202e-05,0.00720921310541789,0.00506594463795074,"Cyp1b1/Sulf2/Ccl2",3,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:00071791","GO:0007179","transforming growth factor beta receptor signaling pathway","5/66","165/23174",0.000108378028506302,0.00800696874604562,0.00562653091150614,"Tgfbr3/Fbn1/Nrep/Aspn/Ccl2",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010573","GO:0010573","vascular endothelial growth factor production","3/66","33/23174",0.000113242397334216,0.00804456568754988,0.00565295044182544,"Cyp1b1/Sulf2/Ccl2",3,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0014033","GO:0014033","neural crest cell differentiation","4/66","92/23174",0.000138877619360931,0.00882112781897111,0.00619864394653713,"Fn1/Sfrp1/Sema3e/Hes1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0030510","GO:0030510","regulation of BMP signaling pathway","4/66","93/23174",0.000144810180507503,0.00882112781897111,0.00619864394653713,"Sfrp1/Tgfbr3/Fbn1/Hes1",4,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0010631","GO:0010631","epithelial cell migration","6/66","280/23174",0.00014592331467705,0.00882112781897111,0.00619864394653713,"Cyp1b1/Cdh13/Tgfbr3/Hspb1/Sparc/Enpp2",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0001822","GO:0001822","kidney development","6/66","281/23174",0.000148777220672469,0.00882112781897111,0.00619864394653713,"Sfrp1/Vcan/Ace/Fbn1/Hes1/Sulf2",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
"GO:0090132","GO:0090132","epithelium migration","6/66","282/23174",0.000151675212591039,0.00882112781897111,0.00619864394653713,"Cyp1b1/Cdh13/Tgfbr3/Hspb1/Sparc/Enpp2",6,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","up"
