"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","Cell_type","change"
"1","GO:0042737","GO:0042737","drug catabolic process","3/6","152/23174",5.45378522162118e-06,0.000708992078810753,0.000264078021257447,"Hp/Cyp2e1/Sult1e1",3,"Adipose","Adipose_Adipocyte","Adipocyte","Positive"
"2","GO:0017001","GO:0017001","antibiotic catabolic process","2/6","49/23174",6.53424150907849e-05,0.00424725698090102,0.00158197426009269,"Hp/Sult1e1",2,"Adipose","Adipose_Adipocyte","Adipocyte","Positive"
"3","GO:0044342","GO:0044342","type B pancreatic cell proliferation","3/19","27/23174",1.34975433498622e-06,0.00130656219626666,0.000751600045481801,"Sfrp1/Igfbp4/Nr4a3",3,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","Positive"
"4","GO:0050673","GO:0050673","epithelial cell proliferation","5/19","424/23174",1.88432360634299e-05,0.00643254787485772,0.00370032386450602,"Sfrp1/Tgfbr3/Cyba/Igfbp4/Nr4a3",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","Positive"
"5","GO:0001558","GO:0001558","regulation of cell growth","5/19","429/23174",1.99355822567904e-05,0.00643254787485772,0.00370032386450602,"Serpine2/Sfrp1/Igfbp7/Cyba/Igfbp4",5,"Adipose","Adipose_Adipose_stem_cell","Adipose_stem_cell","Positive"
"15","GO:0051235","GO:0051235","maintenance of location","3/4","320/23174",1.0327657261508e-05,0.00447160708385556,0.000628167645764372,"Cav1/Txn1/Dbi",3,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"16","GO:0006631","GO:0006631","fatty acid metabolic process","3/4","373/23174",1.63495688623604e-05,0.00447160708385556,0.000628167645764372,"Cav1/Fabp4/Dbi",3,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"17","GO:0010035","GO:0010035","response to inorganic substance","3/4","493/23174",3.76758842610941e-05,0.00520121439273219,0.000730662273971808,"Cav1/Fabp4/Txn1",3,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"18","GO:0010524","GO:0010524","positive regulation of calcium ion transport into cytosol","2/4","59/23174",3.81085599191241e-05,0.00520121439273219,0.000730662273971808,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"19","GO:0032507","GO:0032507","maintenance of protein location in cell","2/4","75/23174",6.17497238968822e-05,0.00520121439273219,0.000730662273971808,"Cav1/Txn1",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"20","GO:0042632","GO:0042632","cholesterol homeostasis","2/4","85/23174",7.93943974500152e-05,0.00520121439273219,0.000730662273971808,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"21","GO:0055092","GO:0055092","sterol homeostasis","2/4","86/23174",8.12800532755467e-05,0.00520121439273219,0.000730662273971808,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"22","GO:0019217","GO:0019217","regulation of fatty acid metabolic process","2/4","87/23174",8.3187728020455e-05,0.00520121439273219,0.000730662273971808,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"23","GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","2/4","96/23174",0.000101347019210522,0.00520121439273219,0.000730662273971808,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"24","GO:0006641","GO:0006641","triglyceride metabolic process","2/4","98/23174",0.000105624301926519,0.00520121439273219,0.000730662273971808,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"25","GO:0051651","GO:0051651","maintenance of location in cell","2/4","101/23174",0.000112205013181612,0.00520121439273219,0.000730662273971808,"Cav1/Txn1",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"26","GO:0010522","GO:0010522","regulation of calcium ion transport into cytosol","2/4","102/23174",0.000114442511516315,0.00520121439273219,0.000730662273971808,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"27","GO:0045185","GO:0045185","maintenance of protein location","2/4","106/23174",0.000123612042240436,0.00520121439273219,0.000730662273971808,"Cav1/Txn1",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"28","GO:0006639","GO:0006639","acylglycerol metabolic process","2/4","121/23174",0.000161122550814526,0.00553298573149167,0.000777269235829677,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"29","GO:0006638","GO:0006638","neutral lipid metabolic process","2/4","123/23174",0.000166496275623823,0.00553298573149167,0.000777269235829677,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"30","GO:0010565","GO:0010565","regulation of cellular ketone metabolic process","2/4","125/23174",0.000171957509022593,0.00553298573149167,0.000777269235829677,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"31","GO:0033138","GO:0033138","positive regulation of peptidyl-serine phosphorylation","2/4","125/23174",0.000171957509022593,0.00553298573149167,0.000777269235829677,"Cav1/Txn1",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"32","GO:0051928","GO:0051928","positive regulation of calcium ion transport","2/4","134/23174",0.000197615157355145,0.00578014449542925,0.000811989893517435,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"33","GO:0055088","GO:0055088","lipid homeostasis","2/4","141/23174",0.000218794012536894,0.00578014449542925,0.000811989893517435,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"34","GO:0106106","GO:0106106","cold-induced thermogenesis","2/4","142/23174",0.000221906827064011,0.00578014449542925,0.000811989893517435,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"35","GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","2/4","142/23174",0.000221906827064011,0.00578014449542925,0.000811989893517435,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"36","GO:1990845","GO:1990845","adaptive thermogenesis","2/4","155/23174",0.000264356232413214,0.00626029352155348,0.000879440829545663,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"37","GO:0060402","GO:0060402","calcium ion transport into cytosol","2/4","157/23174",0.000271213442393089,0.00626029352155348,0.000879440829545663,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"38","GO:0033135","GO:0033135","regulation of peptidyl-serine phosphorylation","2/4","158/23174",0.000274674670049878,0.00626029352155348,0.000879440829545663,"Cav1/Txn1",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"39","GO:0060401","GO:0060401","cytosolic calcium ion transport","2/4","170/23174",0.000317904291658451,0.00695574590148691,0.000977137401729135,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"40","GO:0001659","GO:0001659","temperature homeostasis","2/4","179/23174",0.000352377287247383,0.00741347600478149,0.00104143894611575,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"41","GO:0006469","GO:0006469","negative regulation of protein kinase activity","2/4","193/23174",0.000409488703381694,0.00799965431249239,0.00112378478747608,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"42","GO:0042180","GO:0042180","cellular ketone metabolic process","2/4","193/23174",0.000409488703381694,0.00799965431249239,0.00112378478747608,"Cav1/Dbi",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"43","GO:0051099","GO:0051099","positive regulation of binding","2/4","206/23174",0.000466313487490276,0.00879563716059245,0.00123560379625373,"Cav1/Txn1",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"44","GO:0033673","GO:0033673","negative regulation of kinase activity","2/4","213/23174",0.000498421206548576,0.00908787999940236,0.00127665782729986,"Cav1/Fabp4",2,"Adipose","Adipose_Fibroblast","Fibroblast","Positive"
"83","GO:0042063","GO:0042063","gliogenesis","8/46","321/23174",2.05086629329959e-07,0.000375103445044495,0.000221709440338808,"Serpine2/Plpp3/Igf1/Agt/Trf/Dbi/Lamb2/Egfr",8,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"84","GO:0048708","GO:0048708","astrocyte differentiation","5/46","83/23174",6.37170348828226e-07,0.000582692284003413,0.000344407341182415,"Serpine2/Plpp3/Agt/Lamb2/Egfr",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"85","GO:0010959","GO:0010959","regulation of metal ion transport","8/46","419/23174",1.52774475692005e-06,0.000931415053468924,0.00055052416328312,"Serpine2/Igf1/Cyba/Agt/Trf/Ace/Dbi/Osr1",8,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"86","GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","6/46","200/23174",2.69353399522502e-06,0.00123161841931664,0.000727963003446341,"Igf1/Hp/Cyba/Agt/Egfr/Ptx3",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"87","GO:0055078","GO:0055078","sodium ion homeostasis","4/46","53/23174",3.70462596570272e-06,0.00135515217825406,0.000800979129847725,"Scn7a/Agt/Ace/C7",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"88","GO:0010001","GO:0010001","glial cell differentiation","6/46","236/23174",6.97408318544192e-06,0.00186305903029046,0.00110118363449012,"Serpine2/Plpp3/Igf1/Agt/Lamb2/Egfr",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"89","GO:0010466","GO:0010466","negative regulation of peptidase activity","6/46","242/23174",8.04893469248495e-06,0.00186305903029046,0.00110118363449012,"Serpine2/Ecm1/Igf1/Agt/Dpep1/Serpina3n",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"90","GO:0032930","GO:0032930","positive regulation of superoxide anion generation","3/46","20/23174",8.14897334189375e-06,0.00186305903029046,0.00110118363449012,"Cyba/Agt/Egfr",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"91","GO:0003084","GO:0003084","positive regulation of systemic arterial blood pressure","3/46","22/23174",1.09776718523957e-05,0.00222412213710214,0.00131459436263929,"Cyba/Agt/Ace",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"92","GO:0051346","GO:0051346","negative regulation of hydrolase activity","7/46","396/23174",1.21603178627782e-05,0.00222412213710214,0.00131459436263929,"Serpine2/Ecm1/Igf1/Agt/Dpep1/Serpina3n/Ptx3",7,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"93","GO:0032928","GO:0032928","regulation of superoxide anion generation","3/46","24/23174",1.4387709259162e-05,0.00223546840165811,0.00132130070990929,"Cyba/Agt/Egfr",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"94","GO:0010594","GO:0010594","regulation of endothelial cell migration","5/46","157/23174",1.46668238490417e-05,0.00223546840165811,0.00132130070990929,"Plpp3/Igf1/Agt/Bmper/Hspb1",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"95","GO:0072593","GO:0072593","reactive oxygen species metabolic process","6/46","288/23174",2.15742137193332e-05,0.00303532591482004,0.00179406619350245,"Igf1/Hp/Cyba/Agt/Egfr/Ptx3",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"96","GO:0010951","GO:0010951","negative regulation of endopeptidase activity","5/46","178/23174",2.6842106714465e-05,0.00350672951291118,0.00207269500719967,"Serpine2/Igf1/Agt/Dpep1/Serpina3n",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"97","GO:0032103","GO:0032103","positive regulation of response to external stimulus","6/46","313/23174",3.44010548509432e-05,0.00394863726262957,0.00233388994199912,"Cyba/Ace/Fabp4/Lbp/Hspb1/Egfr",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"98","GO:0003081","GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin","3/46","33/23174",3.83018349786561e-05,0.00394863726262957,0.00233388994199912,"Cyba/Agt/Ace",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"99","GO:0014066","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","4/46","96/23174",3.94892024257795e-05,0.00394863726262957,0.00233388994199912,"Serpine2/Igf1/Agt/Egfr",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"100","GO:0010595","GO:0010595","positive regulation of endothelial cell migration","4/46","97/23174",4.1128076275026e-05,0.00394863726262957,0.00233388994199912,"Plpp3/Igf1/Agt/Hspb1",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"101","GO:0090322","GO:0090322","regulation of superoxide metabolic process","3/46","34/23174",4.19500992250636e-05,0.00394863726262957,0.00233388994199912,"Cyba/Agt/Egfr",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"102","GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","5/46","199/23174",4.57252732869684e-05,0.00394863726262957,0.00233388994199912,"Ecm1/Igf1/Cyba/Egfr/Osr1",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"103","GO:0014002","GO:0014002","astrocyte development","3/46","36/23174",4.99151182736246e-05,0.00394863726262957,0.00233388994199912,"Agt/Lamb2/Egfr",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"104","GO:1903426","GO:1903426","regulation of reactive oxygen species biosynthetic process","4/46","103/23174",5.20272163434943e-05,0.00394863726262957,0.00233388994199912,"Igf1/Cyba/Agt/Ptx3",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"105","GO:0042554","GO:0042554","superoxide anion generation","3/46","37/23174",5.4243937684456e-05,0.00394863726262957,0.00233388994199912,"Cyba/Agt/Egfr",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"106","GO:0009636","GO:0009636","response to toxic substance","6/46","343/23174",5.72250072149187e-05,0.00394863726262957,0.00233388994199912,"Gstm5/Igf1/Hp/Aldh1a1/Mt2/Inmt",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"107","GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","4/46","106/23174",5.82038489787952e-05,0.00394863726262957,0.00233388994199912,"Igf1/Cyba/Agt/Egfr",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"108","GO:0001655","GO:0001655","urogenital system development","6/46","346/23174",6.004979515958e-05,0.00394863726262957,0.00233388994199912,"Igf1/Agt/Ace/Lamb2/Bmper/Osr1",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"109","GO:0042445","GO:0042445","hormone metabolic process","5/46","211/23174",6.03785513370104e-05,0.00394863726262957,0.00233388994199912,"Sult1e1/Igf1/Agt/Ace/Aldh1a1",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"110","GO:0045861","GO:0045861","negative regulation of proteolysis","6/46","348/23174",6.19942377817895e-05,0.00394863726262957,0.00233388994199912,"Serpine2/Ecm1/Igf1/Agt/Dpep1/Serpina3n",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"111","GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/46","108/23174",6.26082452795285e-05,0.00394863726262957,0.00233388994199912,"Cyba/Agt/Egfr/Ptx3",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"112","GO:0098801","GO:0098801","regulation of renal system process","3/46","40/23174",6.86872678618445e-05,0.00414666679755343,0.00245093770026035,"Cyba/Agt/Ace",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"113","GO:0050727","GO:0050727","regulation of inflammatory response","6/46","356/23174",7.02824880941259e-05,0.00414666679755343,0.00245093770026035,"Igf1/Agt/Ace/Fabp4/Lbp/Egfr",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"114","GO:0006953","GO:0006953","acute-phase response","3/46","41/23174",7.40070245769492e-05,0.00422996399847625,0.00250017152106996,"Hp/Lbp/Serpina3n",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"115","GO:0010632","GO:0010632","regulation of epithelial cell migration","5/46","225/23174",8.17941963131331e-05,0.00453338136535517,0.00267951003552114,"Plpp3/Igf1/Agt/Bmper/Hspb1",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"116","GO:0031349","GO:0031349","positive regulation of defense response","6/46","371/23174",8.82011657344154e-05,0.00474470388612488,0.00280441477428002,"Penk/Cyba/Ace/Fabp4/Lbp/Egfr",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"117","GO:1903409","GO:1903409","reactive oxygen species biosynthetic process","4/46","121/23174",9.73990425387158e-05,0.00508979568009461,0.00300838546427853,"Igf1/Cyba/Agt/Ptx3",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"118","GO:0045444","GO:0045444","fat cell differentiation","5/46","238/23174",0.000106523327686552,0.00541197684274176,0.00319881454778037,"Sult1e1/Igf1/Gdf10/Arl4a/Fabp4",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"119","GO:0001990","GO:0001990","regulation of systemic arterial blood pressure by hormone","3/46","47/23174",0.000111638015152312,0.00551853864090753,0.00326179919093668,"Cyba/Agt/Ace",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"120","GO:0014065","GO:0014065","phosphatidylinositol 3-kinase signaling","4/46","127/23174",0.000117461466468838,0.00565360584661853,0.00334163230092787,"Serpine2/Igf1/Agt/Egfr",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"121","GO:0032147","GO:0032147","activation of protein kinase activity","5/46","247/23174",0.000126753464051137,0.00594441245511614,0.00351351707369818,"Igf1/Agt/Trf/Gadd45g/Egfr",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"122","GO:00169991","GO:0016999","antibiotic metabolic process","4/46","133/23174",0.000140365591925655,0.00641821669080056,0.00379356481335914,"Sult1e1/Hp/Cyba/Dpep1",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"123","GO:0052547","GO:0052547","regulation of peptidase activity","6/46","406/23174",0.000144332960756904,0.00643865817620434,0.00380564700121542,"Serpine2/Ecm1/Igf1/Agt/Dpep1/Serpina3n",6,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"124","GO:0045777","GO:0045777","positive regulation of blood pressure","3/46","53/23174",0.00015994623409676,0.00649225477206397,0.00383732591920215,"Cyba/Agt/Ace",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"125","GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","5/46","260/23174",0.00016103309209351,0.00649225477206397,0.00383732591920215,"Plpp3/Igf1/Agt/Ace/Egfr",5,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"126","GO:0016264","GO:0016264","gap junction assembly","2/46","10/23174",0.000171711974557901,0.00649225477206397,0.00383732591920215,"Agt/Ace",2,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"127","GO:0003044","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","3/46","55/23174",0.000178628527009381,0.00649225477206397,0.00383732591920215,"Cyba/Agt/Ace",3,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
"128","GO:01061061","GO:0106106","cold-induced thermogenesis","4/46","142/23174",0.000180558698001726,0.00649225477206397,0.00383732591920215,"Adamts5/Aldh1a1/Fabp4/Gadd45g",4,"Adipose","Adipose_Preadipocyte_1","Preadipocyte_1","Positive"
